FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;;
031215;1000;;
031215;1100;2,6692;
031215;1200;3,48581;
031215;1300;4,1161;
031215;1400;4,02419;
031215;1500;4,2752;
031215;1600;4,24339;
031215;1700;4,47771;
031215;1800;4,73679;
031215;1900;3,03069;
031215;2000;2,24258;
031215;2100;1,9955;
031215;2200;1,52909;
031215;2300;0,772264;
031216;0000;1,37145;
031216;0100;0,0980808;
031216;0200;0,246405;
031216;0300;0,42012;
031216;0400;0,347459;
031216;0500;0,446895;
031216;0600;0,337148;
031216;0700;1,15055;
031216;0800;0,597953;
031216;0900;0,872561;
031216;1000;1,01186;
031216;1100;2,50424;
031216;1200;2,94931;
031216;1300;4,12691;
031216;1400;4,42036;
031216;1500;4,31485;
031216;1600;4,1283;
031216;1700;4,15672;
031216;1800;3,70414;
031216;1900;2,51939;
031216;2000;2,24788;
031216;2100;2,40096;
031216;2200;3,13274;
031216;2300;2,13906;
031217;0000;1,57123;
031217;0100;0,794986;
031217;0200;0,0863723;
031217;0300;0,237357;
031217;0400;0,552269;
031217;0500;0,19096;
031217;0600;0,173838;
031217;0700;0,434066;
031217;0800;0,588494;
031217;0900;1,08003;
031217;1000;2,45234;
031217;1100;3,71128;
031217;1200;4,33192;
031217;1300;4,62183;
031217;1400;5,61915;
031217;1500;5,52769;
031217;1600;5,69389;
031217;1700;5,35136;
031217;1800;4,22893;
031217;1900;4,1468;
031217;2000;4,71893;
031217;2100;3,73141;
031217;2200;2,60029;
031217;2300;2,0265;
031218;0000;1,59279;
031218;0100;1,12037;
031218;0200;1,3163;
031218;0300;1,2762;
031218;0400;0,975595;
031218;0500;0,981701;
031218;0600;0,228118;
031218;0700;0,776651;
031218;0800;1,12032;
031218;0900;1,96246;
031218;1000;2,99821;
031218;1100;3,67868;
031218;1200;4,56297;
031218;1300;5,2773;
031218;1400;5,47253;
031218;1500;5,60548;
031218;1600;5,43414;
031218;1700;5,12166;
031218;1800;4,4891;
031218;1900;4,11555;
031218;2000;4,27174;
031218;2100;3,08312;
031218;2200;3,19261;
031218;2300;3,06593;
031219;0000;1,46797;
031219;0100;1,32076;
031219;0200;1,15136;
031219;0300;1,38798;
031219;0400;0,80533;
031219;0500;0,819879;
031219;0600;0,750363;
031219;0700;1,1046;
031219;0800;1,29274;
031219;0900;1,52935;
031219;1000;2,69278;
031219;1100;4,07301;
031219;1200;4,44621;
031219;1300;5,0247;
031219;1400;4,81001;
031219;1500;4,79926;
031219;1600;4,91189;
031219;1700;5,10497;
031219;1800;3,99911;
031219;1900;3,49501;
031219;2000;2,69882;
031219;2100;3,10462;
031219;2200;1,95733;
031219;2300;0,428807;
031220;0000;0,353541;
031220;0100;0,670687;
031220;0200;0,664242;
031220;0300;0,378758;
031220;0400;0,675753;
031220;0500;0,722013;
031220;0600;0,660204;
031220;0700;1,20613;
031220;0800;0,53618;
031220;0900;1,15022;
031220;1000;1,68378;
031220;1100;2,95941;
031220;1200;3,67817;
031220;1300;4,33356;
031220;1400;4,75568;
031220;1500;4,75539;
031220;1600;5,69336;
031220;1700;5,93494;
031220;1800;4,72488;
031220;1900;4,45916;
031220;2000;3,27428;
031220;2100;2,47028;
031220;2200;1,74395;
031220;2300;2,38477;
031221;0000;3,23435;
031221;0100;3,21975;
031221;0200;3,12194;
031221;0300;1,66961;
031221;0400;2,07711;
031221;0500;2,32772;
031221;0600;1,98076;
031221;0700;2,7072;
031221;0800;0,946684;
031221;0900;1,51393;
031221;1000;2,797;
031221;1100;4,5275;
031221;1200;4,96914;
031221;1300;4,50755;
031221;1400;4,71129;
031221;1500;4,25774;
031221;1600;3,96618;
031221;1700;4,03764;
031221;1800;4,00269;
031221;1900;3,09012;
031221;2000;2,152;
031221;2100;2,53404;
031221;2200;4,04929;
031221;2300;4,26434;
031222;0000;2,94122;
031222;0100;2,41486;
031222;0200;1,70248;
031222;0300;1,16717;
031222;0400;0,475893;
031222;0500;0,174467;
031222;0600;0,380153;
031222;0700;0,676269;
031222;0800;0,411843;
031222;0900;0,625185;
031222;1000;1,74422;
031222;1100;2,94235;
031222;1200;3,56116;
031222;1300;3,90336;
031222;1400;4,01981;
031222;1500;4,26926;
031222;1600;4,5328;
031222;1700;4,36722;
031222;1800;4,71162;
031222;1900;3,87325;
031222;2000;2,88929;
031222;2100;3,10321;
031222;2200;2,61879;
031222;2300;1,32251;
031223;0000;0,675034;
031223;0100;0,255446;
031223;0200;0,455626;
031223;0300;0,291057;
031223;0400;0,315873;
031223;0500;0,231576;
031223;0600;0,392918;
031223;0700;0,964127;
031223;0800;1,17414;
031223;0900;1,69324;
031223;1000;3,02857;
031223;1100;3,95165;
031223;1200;4,59437;
031223;1300;5,35291;
031223;1400;5,73217;
031223;1500;5,41605;
031223;1600;5,29845;
031223;1700;4,81947;
031223;1800;4,39561;
031223;1900;3,74749;
031223;2000;3,80954;
031223;2100;3,65484;
031223;2200;2,84631;
031223;2300;2,07602;
031224;0000;1,70299;
031224;0100;1,80552;
031224;0200;1,67111;
031224;0300;0,635983;
031224;0400;0,838221;
031224;0500;1,28829;
031224;0600;0,867601;
031224;0700;1,56388;
031224;0800;1,36039;
031224;0900;2,63995;
031224;1000;3,58742;
031224;1100;4,51797;
031224;1200;5,42805;
031224;1300;5,62166;
031224;1400;5,76711;
031224;1500;5,4968;
031224;1600;5,07375;
031224;1700;4,99287;
031224;1800;4,29678;
031224;1900;3,9735;
031224;2000;3,28212;
031224;2100;3,65821;
031224;2200;3,26954;
031224;2300;2,24221;
031225;0000;1,55179;
031225;0100;2,11111;
031225;0200;1,91273;
031225;0300;1,39799;
031225;0400;1,31963;
031225;0500;0,945827;
031225;0600;1,13573;
031225;0700;0,621037;
031225;0800;0,818089;
031225;0900;0,677236;
031225;1000;0,917395;
031225;1100;2,13301;
031225;1200;4,13261;
031225;1300;5,25893;
031225;1400;5,18076;
031225;1500;5,5826;
031225;1600;5,80601;
031225;1700;5,92229;
031225;1800;4,379;
031225;1900;3,6926;
031225;2000;3,56038;
031225;2100;3,51701;
031225;2200;3,71844;
031225;2300;3,20932;
031226;0000;2,57118;
031226;0100;2,09859;
031226;0200;1,63444;
031226;0300;2,71135;
031226;0400;1,58417;
031226;0500;0,488548;
031226;0600;1,69431;
031226;0700;1,56763;
031226;0800;0,769373;
031226;0900;2,06352;
031226;1000;3,41861;
031226;1100;4,26268;
031226;1200;4,44135;
031226;1300;4,71399;
031226;1400;5,57484;
031226;1500;5,26476;
031226;1600;5,3419;
031226;1700;5,50425;
031226;1800;4,85378;
031226;1900;3,57059;
031226;2000;3,08918;
031226;2100;2,51104;
031226;2200;2,56423;
031226;2300;2,51106;
031227;0000;2,36374;
031227;0100;2,36715;
031227;0200;2,37448;
031227;0300;1,37791;
031227;0400;1,91889;
031227;0500;1,55975;
031227;0600;2,11777;
031227;0700;3,00184;
031227;0800;3,06217;
031227;0900;3,86664;
031227;1000;3,8404;
031227;1100;3,13357;
031227;1200;3,34393;
031227;1300;3,37273;
031227;1400;3,91771;
031227;1500;3,77417;
031227;1600;4,11091;
031227;1700;4,09015;
031227;1800;4,12434;
031227;1900;3,70749;
031227;2000;3,72896;
031227;2100;3,44222;
031227;2200;3,32677;
031227;2300;2,4933;
031228;0000;1,67254;
031228;0100;1,59613;
031228;0200;1,45156;
031228;0300;0,769564;
031228;0400;0,310357;
031228;0500;0,242959;
031228;0600;0,124955;
031228;0700;0,504803;
031228;0800;0,749104;
031228;0900;0,346638;
031228;1000;1,49892;
031228;1100;3,10328;
031228;1200;4,01783;
031228;1300;4,0743;
031228;1400;4,31405;
031228;1500;4,95068;
031228;1600;4,72614;
031228;1700;4,65842;
031228;1800;4,0983;
031228;1900;3,01347;
